Business Name,Address,Phone Number,Facility Type,Referral Priority
19TH AVE PAIN MANAGEMENT,"11047 N 19TH AVE, PHOENIX, AZ 85029-4816",602-589-0500,Other Medical,C
A BREATH FOR LIFE LLC,"5626 N 51ST AVE, GLENDALE, AZ 85301-6034",602-615-4636,Other Medical,C
ACTIVE LIFE PHYSICAL MEDICINE AND PAIN CENTER,"15547 N REEMS RD, SURPRISE, AZ 85374-9583",623-535-9777,Other Medical,C
ACTIVE LIFE PHYSICAL MEDICINE AND PAIN CENTER,"13575 W INDIAN SCHOOL RD, LITCHFIELD PARK, AZ 85340-4901",623-535-9777,Other Medical,C
ADELANTE HEALTHCARE - BUCKEYE,"306 E MONROE AVE, BUCKEYE, AZ 85326-2706",480-964-2273,Other Medical,C
ADELANTE HEALTHCARE - GILA BEND,"100 N GILA BLVD, GILA BEND, AZ 85337-1016",480-964-2273,Other Medical,C
ADELANTE HEALTHCARE - SURPRISE,"15351 W BELL RD, SURPRISE, AZ 85374-4580",623-583-3001,Other Medical,C
ADELANTE HEALTHCARE - WICKENBURG,"811 N TEGNER ST, WICKENBURG, AZ 85390-5409",623-583-3001,Other Medical,C
ADELANTE HEALTHCARE GOODYEAR,"13471 W CORNERSTONE BLVD, GOODYEAR, AZ 85395-2713",623-583-3001,Other Medical,C
ADELANTE HEALTHCARE INC,"9610 N METRO PKWY W, PHOENIX, AZ 85051-1402",623-583-3001,Other Medical,C
ADELANTE HEALTHCARE MESA,"1705 W MAIN ST, MESA, AZ 85201-6920",480-964-2273,Other Medical,C
ADELANTE HEALTHCARE PEORIA,"15525 N 83RD AVE, PEORIA, AZ 85382-5820",623-583-3001,Other Medical,C
ADELANTE HEALTHCARE TODAY - SURPRISE,"15317 W BELL RD, SURPRISE, AZ 85374-3900",623-583-3001,Other Medical,C
ADELANTE HEALTHCARE-CENTRAL PHOENIX,"500 W THOMAS RD STE 870, PHOENIX, AZ 85013-4218",480-964-2273,Other Medical,C
ADVANCED AMBULATORY SURGERY CENTER ONE LLC,"14725 W MOUNTAIN VIEW BLVD, SURPRISE, AZ 85374-2704",602-243-9077,Other Medical,C
ADVANCED SPINE AND PAIN SURGERY CENTERS,"3525 N CENTRAL AVE, PHOENIX, AZ 85012-2101",602-281-6199,Other Medical,C
ADVANCED SURGERY CENTER OF ARIZONA,"3303 E BASELINE RD, GILBERT, AZ 85234-2738",480-632-2020,Other Medical,C
ADVANCED SURGERY CENTER OF ARIZONA,"10255 N 32ND ST STE A, PHOENIX, AZ 85028-3822",602-692-6908,Other Medical,C
"Advanced Surgical Care East, Llc","5925 W CHANDLER BLVD, CHANDLER, AZ 85226-3422",480-687-9452,Other Medical,C
"ADVANCED SURGICAL WEIGHT LOSS, LLC","1855 E SOUTHERN AVE, TEMPE, AZ 85282-5894",480-712-6000,Other Medical,C
ADVANTAGE SURGERY CENTER LLC,"6424 E BROADWAY RD, MESA, AZ 85206-1750",480-634-3084,Other Medical,C
AGAVE PHYSICIAN SERVICES LLC,"3240 E UNION HILLS DR STE 1, PHOENIX, AZ 85050-2609",602-855-3500,Other Medical,C
"AKDHC SURGERY CENTER, LLC","3320 N 2ND ST, PHOENIX, AZ 85012-2319",602-200-8288,Other Medical,C
"AKDHC SURGERY CENTER, LLC","6622 N 91ST AVE, GLENDALE, AZ 85305-2512",602-200-8288,Other Medical,C
"ALLIANCE HEALTHCARE SERVICES, INC","5281 N 99TH AVE STE 1, GLENDALE, AZ 85305-3176",800-544-3215,Other Medical,C
"Aloe Surgical Center Scottsdale, Llc","9700 N 91ST ST, SCOTTSDALE, AZ 85258-5054",602-256-2525,Other Medical,C
"AMERICAN PREMIER PALLIATIVE, LLC","11070 N 24TH AVE STE 2, PHOENIX, AZ 85029-4705",602-795-8795,Other Medical,C
AMERICAN VISION PARTNERS,"1114 S HIGLEY RD, MESA, AZ 85206-3000",602-598-7488,Other Medical,C
American Vision Partners,"9849 W THUNDERBIRD BLVD, SUN CITY, AZ 85351-2963",623-223-0477,Other Medical,C
APEX HEART AND VASCULAR CENTER LLC,"21360 N 75TH AVE, GLENDALE, AZ 85308-8228",623-663-0006,Other Medical,C
APM SURGERY CENTER LLC,"604 W WARNER RD, CHANDLER, AZ 85225-2906",480-808-2597,Other Medical,C
APOLLO SURGERY CENTERS PLLC,"9458 E IRONWOOD SQUARE DR, SCOTTSDALE, AZ 85258-4571",602-603-0300,Other Medical,C
APOLLO SURGICAL CENTER LLC,"7615 E BASELINE RD STE 102, MESA, AZ 85209-2000",480-597-3290,Other Medical,C
"Arizona Advanced Endoscopy, LLC","2680 S VAL VISTA DR # SU, GILBERT, AZ 85295-2152",480-253-5656,Other Medical,C
