Business Name,Address,Phone Number,Facility Type,Priority
ABRAZO ORTHOPEDIC SPECIALISTS ARROWHEAD,"6320 W UNION HILLS DR, GLENDALE, AZ 85308-1096",602-396-9894,Orthopedic Office,High
ABRAZO SCOTTSDALE CAMPUS REHABILITATION SERVICES,"3811 E BELL RD STE 306, PHOENIX, AZ 85032-2160",602-923-5648,Rehab Hospital,High
ABRAZO WEST CAMPUS WOUND CARE CLINIC,"1325 N LITCHFIELD RD # SU, GOODYEAR, AZ 85395-1213",623-882-1505,Wound Clinic,High
ABSOLUTE REHABILITATION AND PAIN MEDICINE PLLC,"518 N BEAVER ST, FLAGSTAFF, AZ 86001-3020",480-502-0250,Rehab Hospital,High
"ABSOLUTE REHABILITATION AND PAIN MEDICINE, PLLC","7320 E DEER VALLEY RD # SU, SCOTTSDALE, AZ 85255-7453",480-502-0250,Rehab Hospital,High
ADVANCED WOUND HEALING AND HYPERBARIC MEDICINE CTR,"124 W THOMAS RD STE 10, PHOENIX, AZ 85013-4414",602-406-3000,Wound Clinic,High
AGEILITY PHYSICAL THERAPY SOLUTIONS AT GRANITE GAT,"3850 N STATE ROUTE 89, PRESCOTT, AZ 86301-8428",877-407-3422,Rehab Hospital,High
AGILITY SPINE & SPORTS PHYSICAL THERAPY - RIVER RO,"1605 E RIVER RD STE 201, TUCSON, AZ 85718-5973",520-884-9819,Orthopedic Office,High
AGILITY SPINE & SPORTS PHYSICAL THERAPY - TANQUE V,"8987 E TANQUE VERDE RD, TUCSON, AZ 85749-9610",520-884-9819,Orthopedic Office,High
AGILITY SPINE & SPORTS PHYSICAL THERAPY- ST MARY'S,"1777 W SAINT MARYS RD, TUCSON, AZ 85745-2687",713-297-7045,Orthopedic Office,High
ALIGN MEDICAL CENTER,"17014 W BELL RD STE 103, SURPRISE, AZ 85374-2479",623-383-0880,Hospital,High
ALTA MESA HEALTH AND REHABILITATION,"5848 E UNIVERSITY DR, MESA, AZ 85205-7443",480-981-0098,Skilled Nursing Facility,High
ARIZONA DEPARTMENT OF CORRECTIONS REHABILITATION &,"10000 S WILMOT RD, TUCSON, AZ 85756-8699",602-542-5497,Rehab Hospital,High
"ARIZONA DEPARTMENT OF CORRECTIONS, REHABILITATION","2105 N CITRUS RD, GOODYEAR, AZ 85395-9204",602-542-0023,Rehab Hospital,High
ARIZONA REHAB CAMPUS,"6944 E TANQUE VERDE RD # B, TUCSON, AZ 85715-5308",602-882-7451,Rehab Hospital,High
"ARIZONA REHAB CAMPUS, LLC","6944 E TANQUE VERDE RD, TUCSON, AZ 85715-5308",602-882-7451,Rehab Hospital,High
ARROWHEAD HOSPITAL CARDIAC REHABILITATION SERVICES,"ARROWHD MED OFC BLDG II, STE 1, GLENDALE, AZ 85308",623-561-7489,Cardiology Office,High
ARROWHEAD HOSPITAL WOUND HEALING AND HYPERBARIC,"18700 N 64TH DR, GLENDALE, AZ 85308-7109",623-561-1000,Hospital,High
BANNER - UNIVERSITY MEDICAL CENTER PHOENIX- BANNER,"4200 E CAMELBACK RD STE 1, PHOENIX, AZ 85018-2718",602-229-2110,Hospital,High
BANNER - UNIVERSITY MEDICAL CENTER TUCSON - MULTIS,"1141 S LA CANADA DR, GREEN VALLEY, AZ 85614-1945",520-694-3030,Hospital,High
BANNER - UNIVERSITY MEDICAL CENTER TUCSON CAMPUS,"4291 N CAMPBELL AVE, TUCSON, AZ 85719-1117",520-425-8900,Hospital,High
BANNER - UNIVERSITY MEDICAL CENTER TUCSON CAMPUS -,"3838 N CAMPBELL AVE, TUCSON, AZ 85719-1454",520-694-8888,Hospital,High
BANNER - UNIVERSITY MEDICAL CENTER TUCSON – MULTI,"265 W INA RD, TUCSON, AZ 85704-6204",520-694-8100,Hospital,High
BANNER - UNIVERSITY MEDICAL CENTER TUCSON – MULTI,"7901 E 22ND ST, TUCSON, AZ 85710-8509",520-694-8428,Hospital,High
BANNER BOSWELL MED CTR CARDIAC & PULMONARY REHAB,"10503 W THUNDERBIRD BLVD, SUN CITY, AZ 85351-3022",623-832-5390,Cardiology Office,High
BANNER CASA GRANDE MEDICAL CENTER MEDCARE CLINIC,"1828 E FLORENCE BLVD, CASA GRANDE, AZ 85122-4783",520-381-6519,Hospital,High
BANNER CASA GRANDE MEDICAL CENTER PATHOLOGY DEPT,"1828 E FLORENCE BLVD, CASA GRANDE, AZ 85122-4783",520-381-6558,Hospital,High
BANNER CASA GRANDE MEDICAL CENTER WOUND CENTER,"1828 E FLORENCE BLVD, CASA GRANDE, AZ 85122-4783",520-381-6150,Hospital,High
BANNER DEL E. WEBB MEDICAL CENTER - BEHAVIORAL HEA,"14502 W MEEKER BLVD # T, SUN CITY WEST, AZ 85375-5282",623-524-4210,Hospital,High
BANNER DESERT MEDICAL CENTER SLEEP CENTER,"2225 W SOUTHERN AVE, MESA, AZ 85202-4716",602-747-4000,Hospital,High
BANNER GATEWAY MEDICAL CENTER - TREATMENT CENTER A,"2940 E BANNER GATEWAY DR, GILBERT, AZ 85234-2168",480-256-4444,Hospital,High
BANNER PAYSON MEDICAL CENTER - BANNER HEALTH CLINI,"117 E MAIN ST STE A1, PAYSON, AZ 85541-5293",928-474-1714,Hospital,High
BANNER PAYSON MEDICAL CENTER - BANNER HEALTH CLINI,"6152 W HARDSCRABBLE MESA RD, PINE, AZ 85544-5238",928-471-1200,Hospital,High
BANNER PAYSON MEDICAL CENTER CARDIOPULM REHAB AND,"803 S PONDEROSA ST STE A, PAYSON, AZ 85541-5521",928-596-4575,Cardiology Office,High
BANNER PAYSON MEDICAL CENTER IMAGING AND SLEEP CEN,"127 E MAIN ST STE C, PAYSON, AZ 85541-5646",928-472-3450,Hospital,High
BANNER PHYSICAL THERAPY,"7400 N DOBSON RD STE 103, SCOTTSDALE, AZ 85256-2769",717-975-4556,Rehab Hospital,High
BANNER PHYSICAL THERAPY,"4200 E CAMELBACK RD STE 1, PHOENIX, AZ 85018-2718",602-858-3307,Rehab Hospital,High
BANNER PHYSICAL THERAPY,"20770 W MARKET ST STE 10, BUCKEYE, AZ 85396-8041",717-975-4556,Rehab Hospital,High
BANNER PHYSICAL THERAPY,"17430 N PORTER RD, MARICOPA, AZ 85138-4682",717-920-4042,Rehab Hospital,High
BANNER PHYSICAL THERAPY,"3507 S MERCY RD, GILBERT, AZ 85297-0441",480-926-0404,Rehab Hospital,High
BANNER PHYSICAL THERAPY,"13951 W GRAND AVE, SURPRISE, AZ 85374-2436",623-537-9730,Rehab Hospital,High
BANNER PHYSICAL THERAPY,"2800 E AJO WAY STE 201, TUCSON, AZ 85713-6204",520-874-9000,Rehab Hospital,High
BANNER PHYSICAL THERAPY,"885 E WARNER RD, GILBERT, AZ 85296-3075",480-681-6400,Rehab Hospital,High
BANNER PHYSICAL THERAPY,"37200 N GANTZEL RD, QUEEN CREEK, AZ 85140-7368",480-690-8080,Rehab Hospital,High
BANNER PHYSICAL THERAPY,"9377 E BELL RD STE 349, SCOTTSDALE, AZ 85260-1502",717-975-4556,Rehab Hospital,High
BANNER PHYSICAL THERAPY,"211 N ESTRELLA PKWY, GOODYEAR, AZ 85338-9339",623-323-1010,Rehab Hospital,High
BANNER PHYSICAL THERAPY,"6380 E GRANT RD STE 100, TUCSON, AZ 85715-3884",602-512-8550,Rehab Hospital,High
BANNER PHYSICAL THERAPY,"2222 E HIGHLAND AVE # SUI, PHOENIX, AZ 85016-4872",602-512-8550,Rehab Hospital,High
BANNER PHYSICAL THERAPY,"7430 E PINNACLE PEAK RD, SCOTTSDALE, AZ 85255-3630",717-972-1100,Rehab Hospital,High
BANNER PHYSICAL THERAPY,"4232 E CHANDLER BLVD, PHOENIX, AZ 85048-8879",717-975-4559,Rehab Hospital,High
BANNER PHYSICAL THERAPY,"5200 E CORTLAND BLVD, FLAGSTAFF, AZ 86004-9337",717-975-4510,Rehab Hospital,High
BANNER PHYSICAL THERAPY,"2830 N 42ND ST, PHOENIX, AZ 85018",602-954-7742,Rehab Hospital,High
BANNER PHYSICAL THERAPY,"9660 E 22ND ST STE 1, TUCSON, AZ 85748-7561",520-543-8001,Rehab Hospital,High
BANNER PHYSICAL THERAPY,"23478 NORTH SUNDANCE PARKWAY W, BUCKEYE, AZ 85326",623-257-9462,Rehab Hospital,High
BANNER PHYSICAL THERAPY,"20045 N 19TH AVE BLDG 8, PHOENIX, AZ 85027-4267",717-975-4556,Rehab Hospital,High
BANNER PHYSICAL THERAPY,"6320 W UNION HILLS DR # B, GLENDALE, AZ 85308-1096",717-972-1100,Rehab Hospital,High
BANNER PHYSICAL THERAPY,"265 W INA RD STE 103, TUCSON, AZ 85704-6204",520-694-8100,Rehab Hospital,High
BANNER PHYSICAL THERAPY,"1309 N GREENFIELD RD # SU, MESA, AZ 85205-4009",717-972-1100,Rehab Hospital,High
BANNER PHYSICAL THERAPY,"5002 S MILL AVE, TEMPE, AZ 85282-6828",602-512-8607,Rehab Hospital,High
BANNER PHYSICAL THERAPY,"18700 N 64TH DR, GLENDALE, AZ 85308-7109",717-975-4556,Rehab Hospital,High
BANNER PHYSICAL THERAPY,"2912 N WEST ST, FLAGSTAFF, AZ 86004-1974",717-920-4042,Rehab Hospital,High
BANNER PHYSICAL THERAPY,"33777 N SCOTTSDALE RD, SCOTTSDALE, AZ 85266-1569",717-972-1100,Rehab Hospital,High
BANNER PHYSICAL THERAPY,"906 W UNIVERSITY AVE # SUI, FLAGSTAFF, AZ 86001-2986",717-972-1100,Rehab Hospital,High
BANNER PHYSICAL THERAPY,"9321 W THOMAS RD STE 13, PHOENIX, AZ 85037-3387",623-264-6040,Rehab Hospital,High
BANNER PHYSICAL THERAPY,"5925 W ARIZONA PAVILIONS DR, TUCSON, AZ 85743-7391",520-467-7690,Rehab Hospital,High
BANNER PHYSICAL THERAPY (036608),"25101 N LAKE PLEASANT PKWY, PEORIA, AZ 85383-1386",623-471-5550,Rehab Hospital,High
BANNER PHYSICAL THERAPY AND REHABILIATION,"1661 E CAMELBACK RD, PHOENIX, AZ 85016-3911",602-955-8885,Rehab Hospital,High
BANNER PHYSICAL THERAPY AND REHABILITATION,"9917 N 95TH ST, SCOTTSDALE, AZ 85258-4586",480-314-1553,Rehab Hospital,High
