Business Name,Address,Phone Number,Facility Type,Priority
ABRAZO ORTHOPEDIC SPECIALISTS ARROWHEAD,"6320 W UNION HILLS DR, GLENDALE, AZ 85308-1096",602-396-9894,Orthopedic,High
ABRAZO SCOTTSDALE CAMPUS REHABILITATION SERVICES,"3811 E BELL RD STE 306, PHOENIX, AZ 85032-2160",602-923-5648,Rehab,High
ABRAZO WEST CAMPUS WOUND CARE CLINIC,"1325 N LITCHFIELD RD # SU, GOODYEAR, AZ 85395-1213",623-882-1505,Wound Care,High
ABSOLUTE REHABILITATION AND PAIN MEDICINE PLLC,"518 N BEAVER ST, FLAGSTAFF, AZ 86001-3020",480-502-0250,Rehab,High
"ABSOLUTE REHABILITATION AND PAIN MEDICINE, PLLC","7320 E DEER VALLEY RD # SU, SCOTTSDALE, AZ 85255-7453",480-502-0250,Rehab,High
ADVANCED WOUND HEALING AND HYPERBARIC MEDICINE CTR,"124 W THOMAS RD STE 10, PHOENIX, AZ 85013-4414",602-406-3000,Wound Care,High
AGEILITY PHYSICAL THERAPY SOLUTIONS AT GRANITE GAT,"3850 N STATE ROUTE 89, PRESCOTT, AZ 86301-8428",877-407-3422,Rehab,High
AGILITY SPINE & SPORTS PHYSICAL THERAPY - RIVER RO,"1605 E RIVER RD STE 201, TUCSON, AZ 85718-5973",520-884-9819,Rehab,High
AGILITY SPINE & SPORTS PHYSICAL THERAPY - TANQUE V,"8987 E TANQUE VERDE RD, TUCSON, AZ 85749-9610",520-884-9819,Rehab,High
AGILITY SPINE & SPORTS PHYSICAL THERAPY- ST MARY'S,"1777 W SAINT MARYS RD, TUCSON, AZ 85745-2687",713-297-7045,Rehab,High
ALIGN MEDICAL CENTER,"17014 W BELL RD STE 103, SURPRISE, AZ 85374-2479",623-383-0880,Hospital,High
ALTA MESA HEALTH AND REHABILITATION,"5848 E UNIVERSITY DR, MESA, AZ 85205-7443",480-981-0098,Rehab,High
ARIZONA DEPARTMENT OF CORRECTIONS REHABILITATION &,"10000 S WILMOT RD, TUCSON, AZ 85756-8699",602-542-5497,Rehab,High
"ARIZONA DEPARTMENT OF CORRECTIONS, REHABILITATION","2105 N CITRUS RD, GOODYEAR, AZ 85395-9204",602-542-0023,Rehab,High
ARIZONA REHAB CAMPUS,"6944 E TANQUE VERDE RD # B, TUCSON, AZ 85715-5308",602-882-7451,Rehab,High
"ARIZONA REHAB CAMPUS, LLC","6944 E TANQUE VERDE RD, TUCSON, AZ 85715-5308",602-882-7451,Rehab,High
ARROWHEAD HOSPITAL CARDIAC REHABILITATION SERVICES,"ARROWHD MED OFC BLDG II, STE 1, GLENDALE, AZ 85308",623-561-7489,Hospital,High
ARROWHEAD HOSPITAL WOUND HEALING AND HYPERBARIC,"18700 N 64TH DR, GLENDALE, AZ 85308-7109",623-561-1000,Hospital,High
BANNER - UNIVERSITY MEDICAL CENTER PHOENIX- BANNER,"4200 E CAMELBACK RD STE 1, PHOENIX, AZ 85018-2718",602-229-2110,Hospital,High
BANNER - UNIVERSITY MEDICAL CENTER TUCSON - MULTIS,"1141 S LA CANADA DR, GREEN VALLEY, AZ 85614-1945",520-694-3030,Hospital,High
BANNER - UNIVERSITY MEDICAL CENTER TUCSON CAMPUS,"4291 N CAMPBELL AVE, TUCSON, AZ 85719-1117",520-425-8900,Hospital,High
BANNER - UNIVERSITY MEDICAL CENTER TUCSON CAMPUS -,"3838 N CAMPBELL AVE, TUCSON, AZ 85719-1454",520-694-8888,Hospital,High
BANNER - UNIVERSITY MEDICAL CENTER TUCSON – MULTI,"265 W INA RD, TUCSON, AZ 85704-6204",520-694-8100,Hospital,High
BANNER - UNIVERSITY MEDICAL CENTER TUCSON – MULTI,"7901 E 22ND ST, TUCSON, AZ 85710-8509",520-694-8428,Hospital,High
BANNER BOSWELL MED CTR CARDIAC & PULMONARY REHAB,"10503 W THUNDERBIRD BLVD, SUN CITY, AZ 85351-3022",623-832-5390,Rehab,High
BANNER CASA GRANDE MEDICAL CENTER MEDCARE CLINIC,"1828 E FLORENCE BLVD, CASA GRANDE, AZ 85122-4783",520-381-6519,Hospital,High
BANNER CASA GRANDE MEDICAL CENTER PATHOLOGY DEPT,"1828 E FLORENCE BLVD, CASA GRANDE, AZ 85122-4783",520-381-6558,Hospital,High
BANNER CASA GRANDE MEDICAL CENTER WOUND CENTER,"1828 E FLORENCE BLVD, CASA GRANDE, AZ 85122-4783",520-381-6150,Hospital,High
BANNER DEL E. WEBB MEDICAL CENTER - BEHAVIORAL HEA,"14502 W MEEKER BLVD # T, SUN CITY WEST, AZ 85375-5282",623-524-4210,Hospital,High
BANNER DESERT MEDICAL CENTER SLEEP CENTER,"2225 W SOUTHERN AVE, MESA, AZ 85202-4716",602-747-4000,Hospital,High
BANNER GATEWAY MEDICAL CENTER - TREATMENT CENTER A,"2940 E BANNER GATEWAY DR, GILBERT, AZ 85234-2168",480-256-4444,Hospital,High
BANNER PAYSON MEDICAL CENTER - BANNER HEALTH CLINI,"117 E MAIN ST STE A1, PAYSON, AZ 85541-5293",928-474-1714,Hospital,High
BANNER PAYSON MEDICAL CENTER - BANNER HEALTH CLINI,"6152 W HARDSCRABBLE MESA RD, PINE, AZ 85544-5238",928-471-1200,Hospital,High
BANNER PAYSON MEDICAL CENTER CARDIOPULM REHAB AND,"803 S PONDEROSA ST STE A, PAYSON, AZ 85541-5521",928-596-4575,Hospital,High
BANNER PAYSON MEDICAL CENTER IMAGING AND SLEEP CEN,"127 E MAIN ST STE C, PAYSON, AZ 85541-5646",928-472-3450,Hospital,High
BANNER PHYSICAL THERAPY,"7400 N DOBSON RD STE 103, SCOTTSDALE, AZ 85256-2769",717-975-4556,Rehab,High
BANNER PHYSICAL THERAPY,"4200 E CAMELBACK RD STE 1, PHOENIX, AZ 85018-2718",602-858-3307,Rehab,High
BANNER PHYSICAL THERAPY,"20770 W MARKET ST STE 10, BUCKEYE, AZ 85396-8041",717-975-4556,Rehab,High
BANNER PHYSICAL THERAPY,"17430 N PORTER RD, MARICOPA, AZ 85138-4682",717-920-4042,Rehab,High
BANNER PHYSICAL THERAPY,"3507 S MERCY RD, GILBERT, AZ 85297-0441",480-926-0404,Rehab,High
BANNER PHYSICAL THERAPY,"13951 W GRAND AVE, SURPRISE, AZ 85374-2436",623-537-9730,Rehab,High
BANNER PHYSICAL THERAPY,"2800 E AJO WAY STE 201, TUCSON, AZ 85713-6204",520-874-9000,Rehab,High
BANNER PHYSICAL THERAPY,"885 E WARNER RD, GILBERT, AZ 85296-3075",480-681-6400,Rehab,High
BANNER PHYSICAL THERAPY,"37200 N GANTZEL RD, QUEEN CREEK, AZ 85140-7368",480-690-8080,Rehab,High
BANNER PHYSICAL THERAPY,"9377 E BELL RD STE 349, SCOTTSDALE, AZ 85260-1502",717-975-4556,Rehab,High
BANNER PHYSICAL THERAPY,"211 N ESTRELLA PKWY, GOODYEAR, AZ 85338-9339",623-323-1010,Rehab,High
BANNER PHYSICAL THERAPY,"6380 E GRANT RD STE 100, TUCSON, AZ 85715-3884",602-512-8550,Rehab,High
BANNER PHYSICAL THERAPY,"2222 E HIGHLAND AVE # SUI, PHOENIX, AZ 85016-4872",602-512-8550,Rehab,High
BANNER PHYSICAL THERAPY,"7430 E PINNACLE PEAK RD, SCOTTSDALE, AZ 85255-3630",717-972-1100,Rehab,High
BANNER PHYSICAL THERAPY,"4232 E CHANDLER BLVD, PHOENIX, AZ 85048-8879",717-975-4559,Rehab,High
BANNER PHYSICAL THERAPY,"5200 E CORTLAND BLVD, FLAGSTAFF, AZ 86004-9337",717-975-4510,Rehab,High
BANNER PHYSICAL THERAPY,"2830 N 42ND ST, PHOENIX, AZ 85018",602-954-7742,Rehab,High
BANNER PHYSICAL THERAPY,"9660 E 22ND ST STE 1, TUCSON, AZ 85748-7561",520-543-8001,Rehab,High
BANNER PHYSICAL THERAPY,"23478 NORTH SUNDANCE PARKWAY W, BUCKEYE, AZ 85326",623-257-9462,Rehab,High
BANNER PHYSICAL THERAPY,"20045 N 19TH AVE BLDG 8, PHOENIX, AZ 85027-4267",717-975-4556,Rehab,High
BANNER PHYSICAL THERAPY,"6320 W UNION HILLS DR # B, GLENDALE, AZ 85308-1096",717-972-1100,Rehab,High
BANNER PHYSICAL THERAPY,"265 W INA RD STE 103, TUCSON, AZ 85704-6204",520-694-8100,Rehab,High
BANNER PHYSICAL THERAPY,"1309 N GREENFIELD RD # SU, MESA, AZ 85205-4009",717-972-1100,Rehab,High
BANNER PHYSICAL THERAPY,"5002 S MILL AVE, TEMPE, AZ 85282-6828",602-512-8607,Rehab,High
BANNER PHYSICAL THERAPY,"18700 N 64TH DR, GLENDALE, AZ 85308-7109",717-975-4556,Rehab,High
BANNER PHYSICAL THERAPY,"2912 N WEST ST, FLAGSTAFF, AZ 86004-1974",717-920-4042,Rehab,High
BANNER PHYSICAL THERAPY,"33777 N SCOTTSDALE RD, SCOTTSDALE, AZ 85266-1569",717-972-1100,Rehab,High
BANNER PHYSICAL THERAPY,"906 W UNIVERSITY AVE # SUI, FLAGSTAFF, AZ 86001-2986",717-972-1100,Rehab,High
BANNER PHYSICAL THERAPY,"9321 W THOMAS RD STE 13, PHOENIX, AZ 85037-3387",623-264-6040,Rehab,High
BANNER PHYSICAL THERAPY,"5925 W ARIZONA PAVILIONS DR, TUCSON, AZ 85743-7391",520-467-7690,Rehab,High
BANNER PHYSICAL THERAPY (036608),"25101 N LAKE PLEASANT PKWY, PEORIA, AZ 85383-1386",623-471-5550,Rehab,High
BANNER PHYSICAL THERAPY AND REHABILIATION,"1661 E CAMELBACK RD, PHOENIX, AZ 85016-3911",602-955-8885,Rehab,High
BANNER PHYSICAL THERAPY AND REHABILITATION,"9917 N 95TH ST, SCOTTSDALE, AZ 85258-4586",480-314-1553,Rehab,High
BANNER PHYSICAL THERAPY AND REHABILITATION,"1255 W BASELINE RD, MESA, AZ 85202-5820",480-820-7675,Rehab,High
BANNER PHYSICAL THERAPY AND REHABILITATION,"4045 E BELL RD STE 150, PHOENIX, AZ 85032-2239",602-992-8352,Rehab,High
BANNER PHYSICAL THERAPY AND REHABILITATION,"5151 E BROADWAY RD, MESA, AZ 85206-1346",480-396-9922,Rehab,High
BANNER PHYSICAL THERAPY AND REHABILITATION,"5111 N SCOTTSDALE RD # SU, SCOTTSDALE, AZ 85250-7075",480-314-1553,Rehab,High
BANNER PHYSICAL THERAPY AND REHABILITATION,"1729 W GREENTREE DR # SUI, TEMPE, AZ 85284-2710",480-785-1765,Rehab,High
BANNER PHYSICAL THERAPY AND REHABILITATION,"4344 W BELL RD STE 100, GLENDALE, AZ 85308-3589",602-548-9882,Rehab,High
BANNER PHYSICAL THERAPY AND REHABILITATION,"10165 E HAMPTON AVE # SU, MESA, AZ 85209-3327",480-354-5424,Rehab,High
BANNER PHYSICAL THERAPY AND REHABILITATION,"126 E MAIN ST STE C, PAYSON, AZ 85541-5488",928-468-8907,Rehab,High
BANNER PHYSICAL THERAPY AND REHABILITATION,"2853 S SOSSAMAN RD STE A1, MESA, AZ 85212-9625",480-373-9700,Rehab,High
BANNER PHYSICAL THERAPY AND REHABILITATION,"2942 N 7TH AVE, PHOENIX, AZ 85013-4179",602-277-0084,Rehab,High
BANNER PHYSICAL THERAPY AND REHABILITATION,"14001 N 7TH ST, PHOENIX, AZ 85022-4382",602-548-5445,Rehab,High
BANNER PHYSICAL THERAPY AND REHABILITATION,"1025 E BROADWAY RD, TEMPE, AZ 85282-1599",480-829-0217,Rehab,High
BANNER PHYSICAL THERAPY AND REHABILITATION,"9401 W THUNDERBIRD RD STE 1, PEORIA, AZ 85381-4233",623-977-5451,Rehab,High
BANNER PHYSICAL THERAPY AND REHABILITATION,"655 S DOBSON RD STE B, CHANDLER, AZ 85224-5667",480-732-0099,Rehab,High
BANNER PHYSICAL THERAPY AND REHABILITATION,"2400 W DUNLAP AVE, PHOENIX, AZ 85021-2817",602-870-1414,Rehab,High
BANNER PHYSICAL THERAPY AND REHABILITATION,"2120 AIRWAY AVE, KINGMAN, AZ 86409-3652",928-757-1211,Rehab,High
BANNER PHYSICAL THERAPY AND REHABILITATION,"13055 W MCDOWELL RD, AVONDALE, AZ 85392-6449",623-547-4787,Rehab,High
BANNER PHYSICAL THERAPY AND REHABILITATION,"10750 W MCDOWELL RD, AVONDALE, AZ 85392-5960",623-907-0746,Rehab,High
BANNER PHYSICAL THERAPY AND REHABILITATION,"5605 W EUGIE AVE, GLENDALE, AZ 85304-1272",480-210-6445,Rehab,High
BANNER PHYSICAL THERAPY AND REHABILITATION,"10503 W THUNDERBIRD BLVD, SUN CITY, AZ 85351-3022",623-888-3700,Rehab,High
BANNER PHYSICAL THERAPY AND REHABILITATION,"4015 S ARIZONA AVE # SUI, CHANDLER, AZ 85248-4586",480-426-8019,Rehab,High
BANNER PHYSICAL THERAPY AND REHABILITATION,"2225 W SOUTHERN AVE, MESA, AZ 85202-4716",623-888-3502,Rehab,High
BANNER PHYSICAL THERAPY AND REHABILITATION,"20851 E RITTENHOUSE RD, QUEEN CREEK, AZ 85142-4493",480-677-3294,Rehab,High
BANNER PHYSICAL THERAPY AND REHABILITATION,"14418 W MEEKER BLVD, SUN CITY WEST, AZ 85375-5283",623-888-3450,Rehab,High
BANNER PHYSICAL THERAPY AND REHABILITATION,"2225 W SOUTHERN AVE, MESA, AZ 85202-4716",480-462-3880,Rehab,High
BANNER PHYSICAL THERAPY AND REHABILITATION,"1828 E FLORENCE BLVD, CASA GRANDE, AZ 85122-4783",520-510-0360,Rehab,High
BANNER PHYSICAL THERAPY AND REHABILITATION,"755 E MCDOWELL RD, PHOENIX, AZ 85006-2506",480-210-6556,Rehab,High
BANNER PHYSICAL THERAPY AND REHABILITATION,"1972 E BASELINE RD, TEMPE, AZ 85283-1532",480-730-0501,Rehab,High
BANNER PHYSICAL THERAPY AND REHABILITATION,"2940 E BANNER GATEWAY DR, GILBERT, AZ 85234-2168",480-813-7900,Rehab,High
BANNER THUNDERBIRD MEDICAL CENTER - BANNER INFUSIO,"13041 N DEL WEBB BLVD STE 10, SUN CITY, AZ 85351-3034",602-865-5058,Hospital,High
BANNER THUNDERBIRD MEDICAL CENTER - BANNER MD ANDE,"13041 N DEL WEBB BLVD STE 200, SUN CITY, AZ 85351-3034",623-832-0300,Hospital,High
