Business Name,Address,Phone Number,Facility Type,Referral Priority
ABRAZO ORTHOPEDIC SPECIALISTS ARROWHEAD,"6320 W UNION HILLS DR, GLENDALE, AZ 85308-1096",602-396-9894,Orthopedic,A
ABRAZO SCOTTSDALE CAMPUS REHABILITATION SERVICES,"3811 E BELL RD STE 306, PHOENIX, AZ 85032-2160",602-923-5648,Rehab / Inpatient Rehab,A
ABRAZO WEST CAMPUS WOUND CARE CLINIC,"1325 N LITCHFIELD RD # SU, GOODYEAR, AZ 85395-1213",623-882-1505,Wound Care,A
"ABSOLUTE REHABILITATION AND PAIN MEDICINE, PLLC","7320 E DEER VALLEY RD # SU, SCOTTSDALE, AZ 85255-7453",480-502-0250,Rehab / Inpatient Rehab,A
ADVANCED WOUND HEALING AND HYPERBARIC MEDICINE CTR,"124 W THOMAS RD STE 10, PHOENIX, AZ 85013-4414",602-406-3000,Wound Care,A
ALIGN MEDICAL CENTER,"17014 W BELL RD STE 103, SURPRISE, AZ 85374-2479",623-383-0880,Hospital,A
ALTA MESA HEALTH AND REHABILITATION,"5848 E UNIVERSITY DR, MESA, AZ 85205-7443",480-981-0098,Rehab / Inpatient Rehab,A
ARROWHEAD HOSPITAL CARDIAC REHABILITATION SERVICES,"ARROWHD MED OFC BLDG II, STE 1, GLENDALE, AZ 85308",623-561-7489,Hospital,A
ARROWHEAD HOSPITAL WOUND HEALING AND HYPERBARIC,"18700 N 64TH DR, GLENDALE, AZ 85308-7109",623-561-1000,Hospital,A
BANNER - UNIVERSITY MEDICAL CENTER PHOENIX- BANNER,"4200 E CAMELBACK RD STE 1, PHOENIX, AZ 85018-2718",602-229-2110,Hospital,A
BANNER BOSWELL MED CTR CARDIAC & PULMONARY REHAB,"10503 W THUNDERBIRD BLVD, SUN CITY, AZ 85351-3022",623-832-5390,Rehab / Inpatient Rehab,A
BANNER DESERT MEDICAL CENTER SLEEP CENTER,"2225 W SOUTHERN AVE, MESA, AZ 85202-4716",602-747-4000,Hospital,A
BANNER GATEWAY MEDICAL CENTER - TREATMENT CENTER A,"2940 E BANNER GATEWAY DR, GILBERT, AZ 85234-2168",480-256-4444,Hospital,A
