Business Name,Address,Phone Number,Facility Type,Priority,Previous Facility Type,Previous Priority
ABRAZO BUCKEYE FAMILY MEDICINE,"525 S WATSON RD STE 2, BUCKEYE, AZ 85326-3449",602-726-8750,Hospital,High,Other Medical,Low
ABRAZO GOODYEAR FAMILY MEDICINE,"3125 N DYSART RD, AVONDALE, AZ 85392-1208",623-882-9161,Hospital,High,Other Medical,Low
ABRAZO MEDICAL GROUP,"6036 N 19TH AVE, PHOENIX, AZ 85015-2106",480-888-5203,Hospital,High,Other Medical,Low
ABRAZO MEDICAL GROUP - ARROWHEAD,"18700 N 64TH DR, GLENDALE, AZ 85308-7109",602-396-9894,Hospital,High,Other Medical,Low
ABRAZO MEDICAL GROUP BILTMORE TERRACE,"2122 E HIGHLAND AVE, PHOENIX, AZ 85016-4739",602-396-9894,Hospital,High,Other Medical,Low
ABRAZO MEDICAL GROUP NORTH PEORIA,"26900 N LAKE PLEASANT PKWY, PEORIA, AZ 85383-1394",480-888-5203,Hospital,High,Other Medical,Low
ABRAZO MEDICAL GROUP SCOTTSDALE,"3811 E BELL RD STE 300, PHOENIX, AZ 85032-2160",602-396-9894,Hospital,High,Other Medical,Low
ABRAZO MEDICAL GROUP WEST,"1325 N LITCHFIELD RD # SU, GOODYEAR, AZ 85395-1213",602-726-8806,Hospital,High,Other Medical,Low
ACACIA HEALTH CENTER,"4555 E MAYO BLVD, PHOENIX, AZ 85050-6952",480-384-5600,Hospital,High,Other Medical,Low
ARROWHEAD HEALTH CENTERS,"2629 N SCOTTSDALE RD # SU, SCOTTSDALE, AZ 85257-1370",623-334-4000,Hospital,High,Other Medical,Low
ARROWHEAD HEALTH CENTERS,"17061 N AVENUE OF THE ARTS, SURPRISE, AZ 85378-6995",623-334-4000,Hospital,High,Other Medical,Low
ARROWHEAD HEALTH CENTERS,"16390 N 59TH AVE, GLENDALE, AZ 85306-1711",623-334-4000,Hospital,High,Other Medical,Low
