Business Name,Address,Phone Number,Facility Type,Priority,Previous Facility Type,Previous Priority
19TH AVE PAIN MANAGEMENT,"11047 N 19TH AVE, PHOENIX, AZ 85029-4816",602-589-0500,Pain Management,Medium,Other Medical,Low
A BETTER LIFE PAIN TREATMENT CENTER,"3931 N STOCKTON HILL RD, KINGMAN, AZ 86409-2426",928-565-7390,Pain Management,Medium,Other Medical,Low
A BETTER LIFE PAIN TREATMENT CENTER,"203 S CANDY LN STE 9A, COTTONWOOD, AZ 86326-4121",928-565-7390,Pain Management,Medium,Other Medical,Low
ABRAZO BUCKEYE EMERGENCY CENTER,"525 S WATSON RD, BUCKEYE, AZ 85326-3449",623-925-3980,Hospital,High,Other Medical,Low
ABRAZO PEORIA EMERGENCY CENTER,"26900 N LAKE PLEASANT PKWY, PEORIA, AZ 85383-1394",623-561-2022,Hospital,High,Other Medical,Low
ABRAZO SPINE INSTITUTE ARROWHEAD,"18699 N 67TH AVE, GLENDALE, AZ 85308-7140",602-396-9894,Specialty Medical,High,Other Medical,Low
ACTIVE LIFE PHYSICAL MEDICINE AND PAIN CENTER,"15547 N REEMS RD, SURPRISE, AZ 85374-9583",623-535-9777,Pain Management,Medium,Other Medical,Low
ACTIVE LIFE PHYSICAL MEDICINE AND PAIN CENTER,"13575 W INDIAN SCHOOL RD, LITCHFIELD PARK, AZ 85340-4901",623-535-9777,Pain Management,Medium,Other Medical,Low
ADOBE SURGERY CENTER,"2585 N WYATT DR, TUCSON, AZ 85712-6104",520-721-2728,Surgery Center,High,Other Medical,Low
ADVANCED AMBULATORY SURGERY CENTER ONE LLC,"14725 W MOUNTAIN VIEW BLVD, SURPRISE, AZ 85374-2704",602-243-9077,Surgery Center,High,Other Medical,Low
ADVANCED PLASTIC SURGERY CENTER,"1615 PETROGLYPH POINT DR, PRESCOTT, AZ 86301-6539",928-777-0200,Surgery Center,High,Other Medical,Low
ADVANCED SPINE AND PAIN SURGERY CENTERS,"3525 N CENTRAL AVE, PHOENIX, AZ 85012-2101",602-281-6199,Surgery Center,High,Other Medical,Low
ADVANCED SURGERY CENTER OF ARIZONA,"3303 E BASELINE RD, GILBERT, AZ 85234-2738",480-632-2020,Surgery Center,High,Other Medical,Low
ADVANCED SURGERY CENTER OF ARIZONA,"10255 N 32ND ST STE A, PHOENIX, AZ 85028-3822",602-692-6908,Surgery Center,High,Other Medical,Low
ADVANTAGE SURGERY CENTER LLC,"6424 E BROADWAY RD, MESA, AZ 85206-1750",480-634-3084,Surgery Center,High,Other Medical,Low
AIMS Outpatient Surgery Center Inc.,"3636 N STOCKTON HILL RD, KINGMAN, AZ 86409-0514",928-757-1040,Surgery Center,High,Other Medical,Low
"AKDHC SURGERY CENTER, LLC","3320 N 2ND ST, PHOENIX, AZ 85012-2319",602-200-8288,Surgery Center,High,Other Medical,Low
"AKDHC SURGERY CENTER, LLC","6622 N 91ST AVE, GLENDALE, AZ 85305-2512",602-200-8288,Surgery Center,High,Other Medical,Low
