Business Name,Address,Phone Number,Facility Type,Priority,Previous Facility Type (v1 base),After name refinement,Hospice remapped to Other
AGILITY SPINE & SPORTS PHYSICAL THERAPY - RIVER RO,"1605 E RIVER RD STE 201, TUCSON, AZ 85718-5973",520-884-9819,Orthopedic Office,High,Rehab Hospital,Orthopedic Office,no
AGILITY SPINE & SPORTS PHYSICAL THERAPY - TANQUE V,"8987 E TANQUE VERDE RD, TUCSON, AZ 85749-9610",520-884-9819,Orthopedic Office,High,Rehab Hospital,Orthopedic Office,no
AGILITY SPINE & SPORTS PHYSICAL THERAPY- ST MARY'S,"1777 W SAINT MARYS RD, TUCSON, AZ 85745-2687",713-297-7045,Orthopedic Office,High,Rehab Hospital,Orthopedic Office,no
ARROWHEAD HOSPITAL CARDIAC REHABILITATION SERVICES,"ARROWHD MED OFC BLDG II, STE 1, GLENDALE, AZ 85308",623-561-7489,Cardiology Office,High,Hospital,Cardiology Office,no
BANNER BOSWELL MED CTR CARDIAC & PULMONARY REHAB,"10503 W THUNDERBIRD BLVD, SUN CITY, AZ 85351-3022",623-832-5390,Cardiology Office,High,Rehab Hospital,Cardiology Office,no
BANNER PAYSON MEDICAL CENTER CARDIOPULM REHAB AND,"803 S PONDEROSA ST STE A, PAYSON, AZ 85541-5521",928-596-4575,Cardiology Office,High,Hospital,Cardiology Office,no
BARROW BRIDGE NEURO-REHABILITATION,"222 W THOMAS RD STE 30, PHOENIX, AZ 85013-4419",602-406-5001,Neurology Office,High,Rehab Hospital,Neurology Office,no
BARROW CENTER FOR TRANSITIONAL NEURO-REHABILITATI,"222 W THOMAS RD STE 40, PHOENIX, AZ 85013-4419",602-406-3473,Neurology Office,High,Rehab Hospital,Neurology Office,no
BARROW MOVEMENT DISORDERS OUTPATIENT NEURO-REHABIL,"240 W THOMAS RD STE 303, PHOENIX, AZ 85013-4407",602-406-4324,Neurology Office,High,Rehab Hospital,Neurology Office,no
BARROW OUTPATIENT NEURO-REHABILITATION CENTER -,"222 W THOMAS RD STE 11, PHOENIX, AZ 85013-4419",602-406-3726,Neurology Office,High,Rehab Hospital,Neurology Office,no
